cast_id,actor_name
1,Johnny Depp
2,Orlando Bloom
3,Keira Knightley
4,Geoffrey Rush
5,Kevin McNally
6,Bill Nighy
7,Naomie Harris
8,Ian McShane
9,Penélope Cruz
10,Brenton Thwaites
11,Kaya Scodelario
12,Javier Bardem
13,Lee Arenberg
14,Mackenzie Crook
15,Martin Klebba
16,David Bailie
17,Zoe Saldaña
18,Stellan Skarsgård
19,Jack Davenport
20,Tom Hollander
21,Jonathan Pryce
22,Chiquita Capuchin
23,Chow Yun-fat
24,Takayo Fischer
25,Keith Richards
26,Reggie Lee
27,Andy Beckwith
28,Clive Ashborn
29,Christopher Adamson
30,Sam Claflin
31,Àstrid Bergès-Frisbey
