relationship_id,movie_id,character_id_1,character_id_2,type
R1,M1,C1,C2,ALLY
R2,M1,C1,C3,ALLY
R3,M1,C1,C4,RIVALRY
R4,M1,C1,C5,ALLY
R5,M1,C2,C3,LOVE
R6,M1,C3,C17,FAMILY
R7,M1,C5,C6,CREW
R8,M1,C6,C7,FRIENDS
R9,M1,C7,C18,CREW
R10,M1,C4,C15,ENEMY
R11,M1,C1,C15,MISTRUST
R12,M2,C1,C4,UNEASY_ALLY
R13,M2,C1,C13,ENEMY
R14,M2,C12,C2,FATHER_SON
R15,M2,C12,C13,CREW
R16,M2,C1,C12,ALLY
R17,M2,C13,C1,BETRAYED
R18,M2,C3,C15,ENEMY
R19,M2,C15,C2,RIVALRY
R20,M3,C1,C14,ALLY
R21,M3,C14,C13,LOVE_HATE
R22,M3,C1,C13,ENEMY
R23,M3,C4,C14,BETRAYED
R24,M3,C1,C2,ALLY
R25,M3,C2,C3,FAMILY
R26,M3,C14,C4,MISTRUST
R27,M3,C1,C21,ALLY
R28,M4,C1,C20,LOVE
R29,M4,C1,C19,ENEMY
R30,M4,C20,C19,FAMILY
R31,M4,C1,C28,ALLY
R32,M4,C19,C4,ENEMY
R33,M4,C1,C4,UNEASY_ALLY
R34,M4,C20,C4,MISTRUST
R35,M4,C28,C29,ALLY
R36,M5,C1,C30,ALLY
R37,M5,C30,C31,FAMILY
R38,M5,C1,C31,HELPED
R39,M5,C31,C4,RESCUED
R40,M5,C1,C32,ENEMY
R41,M5,C32,C4,ENEMY
R42,M5,C1,C18,CREW
R43,M5,C3,C30,FAMILY
R44,M5,C1,C3,RESPECT
R45,M5,C4,C1,ALLY
R46,M5,C32,C1,ENEMY
R47,M5,C28,C30,FRIENDS
R48,M5,C30,C1,ALLY
R49,M5,C31,C3,FAMILY
R50,M5,C4,C31,FATHER_DAUGHTER
